<<<<<<< HEAD
14,38
14,45
14,49
14,53
15,57
16,34
17,61
18,30
19,65
20,67
21,27
22,70
25,24
26,32
26,33
26,35
26,37
26,74
27,23
27,38
27,40
28,31
28,41
28,76
30,20
30,43
30,77
31,36
31,42
31,43
31,44
31,49
31,56
32,34
32,41
32,42
32,45
32,46
32,61
32,78
33,41
33,47
33,65
34,19
34,28
34,48
34,69
34,78
35,41
35,48
35,49
36,24
36,70
36,78
37,18
37,40
37,49
37,71
38,71
38,78
39,21
39,40
39,77
40,18
40,50
40,71
40,76
41,18
41,71
42,40
42,75
43,16
43,70
43,73
44,18
44,40
44,50
44,69
45,71
46,15
46,18
47,40
47,50
47,67
47,69
48,15
48,40
48,66
48,67
49,19
50,15
50,40
50,50
50,63
51,20
51,40
51,61
53,15
53,40
53,60
54,22
54,40
54,41
54,49
54,57
54,58
55,15
55,24
55,42
56,43
56,44
56,46
56,50
56,53
57,26
57,49
57,54
58,16
58,28
59,29
59,50
60,18
60,31
60,46
60,47
61,35
61,37
61,39
61,42
63,20
63,45
65,23
65,44
67,25
67,42
68,28
69,30
69,32
69,34
69,38
69,40
=======
45,49
45,50
45,51
45,52
45,53
45,54
45,55
46,48
46,55
47,47
47,48
47,56
48,47
48,56
49,47
49,56
50,47
50,55
51,47
51,48
51,55
52,47
52,48
52,49
52,55
53,47
53,48
53,49
53,54
53,55
54,48
54,49
54,50
54,51
54,53
54,54
55,50
55,51
55,52
55,53
55,54
56,54
56,55
57,55
58,55
59,55
60,55
>>>>>>> c9537c48d1b378f782a045fd6c11f080614b41b9
