17,32
17,33
17,34
17,36
17,37
17,39
18,31
18,42
19,30
19,45
20,30
20,47
21,29
21,50
22,52
24,28
24,55
25,28
25,55
26,57
29,27
29,58
31,59
33,59
34,27
35,59
36,27
37,59
39,58
41,27
42,56
44,54
45,40
45,53
45,57
45,60
45,62
45,65
45,66
45,68
46,28
46,41
46,51
46,54
46,69
46,71
47,41
47,42
47,49
47,50
47,52
47,72
48,43
48,44
48,46
48,47
48,48
48,49
48,72
49,47
49,73
50,29
50,46
50,73
51,45
51,46
51,73
52,45
52,73
53,45
53,73
54,45
54,73
55,45
55,72
56,33
56,45
57,45
57,71
58,45
58,70
59,35
59,45
59,67
60,45
60,65
61,38
61,45
62,62
63,42
63,44
63,51
63,55
63,57
